"date_utc","date_time_utc","flame_price"
2023-02-19,"2023-02-19 00:00:08",1.1499836280147e-05
2023-02-19,"2023-02-19 00:10:04",1.1499836280147e-05
2023-02-19,"2023-02-19 00:20:05",1.1499836280147e-05
2023-02-19,"2023-02-19 00:30:05",1.1499836280147e-05
2023-02-19,"2023-02-19 00:40:04",1.1499836280147e-05
2023-02-19,"2023-02-19 00:50:04",1.1499836280147e-05
2023-02-19,"2023-02-19 01:00:08",1.1499836280147e-05
2023-02-19,"2023-02-19 01:10:05",1.1499836280147e-05
2023-02-19,"2023-02-19 01:20:04",1.1499836280147e-05
2023-02-19,"2023-02-19 01:30:05",1.1499836280147e-05
2023-02-19,"2023-02-19 01:40:05",1.1499836280147e-05
2023-02-19,"2023-02-19 01:50:04",1.1499836280147e-05
2023-02-19,"2023-02-19 02:00:07",1.1499836280147e-05
2023-02-19,"2023-02-19 02:10:05",1.1499836280147e-05
2023-02-19,"2023-02-19 02:20:04",1.1499836280147e-05
2023-02-19,"2023-02-19 02:30:05",1.1499836280147e-05
2023-02-19,"2023-02-19 02:40:04",1.1499836280147e-05
2023-02-19,"2023-02-19 02:50:05",1.1499836280147e-05
2023-02-19,"2023-02-19 03:00:07",1.1499836280147e-05
2023-02-19,"2023-02-19 03:10:04",1.1499836280147e-05
2023-02-19,"2023-02-19 03:20:05",1.1499836280147e-05
2023-02-19,"2023-02-19 03:30:05",1.1499836280147e-05
2023-02-19,"2023-02-19 03:40:05",1.1499836280147e-05
2023-02-19,"2023-02-19 03:50:05",1.1499836280147e-05
2023-02-19,"2023-02-19 04:00:07",1.1499836280147e-05
2023-02-19,"2023-02-19 04:10:04",1.1499836280147e-05
2023-02-19,"2023-02-19 04:20:05",1.1499836280147e-05
2023-02-19,"2023-02-19 04:30:04",1.1499836280147e-05
2023-02-19,"2023-02-19 04:40:05",1.1499836280147e-05
2023-02-19,"2023-02-19 04:50:04",1.1499836280147e-05
2023-02-19,"2023-02-19 05:00:07",1.1499836280147e-05
2023-02-19,"2023-02-19 05:10:05",1.1499836280147e-05
2023-02-19,"2023-02-19 05:20:05",1.1499836280147e-05
2023-02-19,"2023-02-19 05:30:05",1.1499836280147e-05
2023-02-19,"2023-02-19 05:40:04",1.1499836280147e-05
2023-02-19,"2023-02-19 05:50:05",1.1499836280147e-05
2023-02-19,"2023-02-19 06:00:07",1.1499836280147e-05
2023-02-19,"2023-02-19 06:10:04",1.1499836280147e-05
2023-02-19,"2023-02-19 06:20:05",1.1499836280147e-05
2023-02-19,"2023-02-19 06:30:04",1.1499836280147e-05
2023-02-19,"2023-02-19 06:40:05",1.1499836280147e-05
2023-02-19,"2023-02-19 06:50:05",1.1499836280147e-05
2023-02-19,"2023-02-19 07:00:07",1.1499836280147e-05
2023-02-19,"2023-02-19 07:10:05",1.1499836280147e-05
2023-02-19,"2023-02-19 07:20:04",1.1499836280147e-05
2023-02-19,"2023-02-19 07:30:05",1.1499836280147e-05
2023-02-19,"2023-02-19 07:40:04",1.1499836280147e-05
2023-02-19,"2023-02-19 07:50:05",1.1499836280147e-05
2023-02-19,"2023-02-19 08:00:10",1.1499836280147e-05
2023-02-19,"2023-02-19 08:10:04",1.1499836280147e-05
2023-02-19,"2023-02-19 08:20:05",1.1499836280147e-05
2023-02-19,"2023-02-19 08:30:05",1.1499836280147e-05
2023-02-19,"2023-02-19 08:40:05",1.1499836280147e-05
2023-02-19,"2023-02-19 08:50:04",1.1499836280147e-05
2023-02-19,"2023-02-19 09:00:07",1.1499836280147e-05
2023-02-19,"2023-02-19 09:10:04",1.1499836280147e-05
2023-02-19,"2023-02-19 09:20:04",1.1499836280147e-05
2023-02-19,"2023-02-19 09:30:05",1.1499836280147e-05
2023-02-19,"2023-02-19 09:40:04",1.1499836280147e-05
2023-02-19,"2023-02-19 09:50:04",1.1499836280147e-05
2023-02-19,"2023-02-19 10:00:07",1.1499836280147e-05
2023-02-19,"2023-02-19 10:10:05",1.1499836280147e-05
2023-02-19,"2023-02-19 10:20:05",1.1499836280147e-05
2023-02-19,"2023-02-19 10:30:05",1.1499836280147e-05
2023-02-19,"2023-02-19 10:40:05",1.1499836280147e-05
2023-02-19,"2023-02-19 10:50:05",1.1499836280147e-05
2023-02-19,"2023-02-19 11:00:07",1.1499836280147e-05
2023-02-19,"2023-02-19 11:10:05",1.1499836280147e-05
2023-02-19,"2023-02-19 11:20:04",1.1499836280147e-05
2023-02-19,"2023-02-19 11:30:05",1.1499836280147e-05
2023-02-19,"2023-02-19 11:40:05",1.1499836280147e-05
2023-02-19,"2023-02-19 11:50:04",1.1499836280147e-05
2023-02-19,"2023-02-19 12:00:08",1.1499836280147e-05
2023-02-19,"2023-02-19 12:10:05",1.1499836280147e-05
